GEO_ID,State,Year_Date,Year,Total,MOE_Total,MOE_Total_display,Total_forprofit,Total_nonprofit,Total_localGov,Total_stateGov,Total_fedGov,Total_selfEmpNotincorp,Total_UnpaidFamily,Total_DroveAlone,Total_Carpooled,Total_PublicTransport,Total_Walked,Total_CabBikeOther,Total_WorkFromHome,MOE_Total_WorkFromHome,MOE_Total_WorkFromHome_display,ForProfit_WFH,NonProfit_WFH,LocalGov_WFH,StateGov_WFH,FedGov_WFH,SelfEmpNotInc_WFH,UnpaidFamily_WFH,Total_AllGov,perc_AllGov,perc_UnpaidFAm,perc_ForProfit,perc_NonProfit,perc_WFH,perc_Walk,perc_PubTrans,perc_DroveAlone,perc_Carpool,perc_WFH_AllGov,perc_WFH_ForProfit,perc_WFH_NonProfit,perc_WFH_SelfEmpNotInc,perc_WFH_UnpaidFamily,perc_MOE_WFH,perc_MOE_WFH_display,Perc_WFH_MOE_display_complete,MOE_Total_WorkFromHome_display_complete,GEOIDFQ
0400000US18,Indiana,2023-01-01,2023,3281665,18437,±18437,2383954,337932,216115,111611,74450,151611,5992,2498341,311821,20459,62039,43517,345488,10126,±10126,248194,32038,6139,9973,10266,37633,1245,402176,12.26,0.18,72.64,10.3,10.53,1.89,0.62,76.13,9.5,6.56,10.41,9.48,24.82,20.78,0.3028409652422902,±0.30284096524229,10.5%  ±0.3 pp,"345,488  ±10,126",0400000US18
0400000US19,Iowa,2023-01-01,2023,1630590,13613,±13613,1141231,142157,125754,82868,30906,104706,2968,1241090,136391,12082,44761,25580,170686,5294,±5294,118180,10834,2620,8649,2820,27221,362,239528,14.69,0.18,69.99,8.72,10.47,2.75,0.74,76.11,8.36,5.88,10.36,7.62,26,12.2,0.3126853452076602,±0.31268534520766,10.5%  ±0.3 pp,"170,686  ±5,294",0400000US19
0400000US20,Kansas,2023-01-01,2023,1493417,13357,±13357,1009312,127467,135103,73216,60716,84753,2850,1148297,129570,5728,36548,19819,153455,7298,±7298,105064,12157,3713,6882,5047,19986,606,269035,18.01,0.19,67.58,8.54,10.28,2.45,0.38,76.89,8.68,5.81,10.41,9.54,23.58,21.26,0.47995841358397395,±0.479958413583974,10.3%  ±0.5 pp,"153,455  ±7,298",0400000US20
0400000US21,Kentucky,2023-01-01,2023,2072858,14833,±14833,1453329,179603,144637,109348,73851,108230,3860,1592700,203514,13510,38206,29591,195337,7820,±7820,137004,16530,4628,7887,4966,23637,685,327836,15.82,0.19,70.11,8.66,9.42,1.84,0.65,76.84,9.82,5.33,9.43,9.2,21.84,17.75,0.3711812561355391,±0.371181256135539,9.4%  ±0.4 pp,"195,337  ±7,820",0400000US21
0400000US22,Louisiana,2023-01-01,2023,2023176,19128,±19128,1404823,155099,154359,108513,67392,129642,3348,1593180,174258,15737,38043,39490,162468,7231,±7231,108886,13339,3859,7677,5796,22503,408,330264,16.32,0.17,69.44,7.67,8.03,1.88,0.78,78.75,8.61,5.25,7.75,8.6,17.36,12.19,0.34925136442150856,±0.349251364421509,8%  ±0.3 pp,"162,468  ±7,231",0400000US22
0400000US23,Maine,2023-01-01,2023,689383,8420,±8420,437656,92341,50509,30305,21029,56242,1301,497099,54925,4688,23193,9961,99517,5495,±5495,63426,11806,1707,3901,2931,15486,260,101843,14.77,0.19,63.49,13.39,14.44,3.36,0.68,72.11,7.97,8.38,14.49,12.79,27.53,19.98,0.7773448099777256,±0.777344809977726,14.4%  ±0.8 pp,"99,517  ±5,495",0400000US23
0400000US24,Maryland,2023-01-01,2023,2943904,26816,±26816,1833405,286279,233421,141093,297899,147423,4384,1941533,244734,88631,69599,63209,536198,14627,±14627,314694,57563,15970,15438,90060,40694,1779,672413,22.84,0.15,62.28,9.72,18.21,2.36,3.01,65.95,8.31,18.06,17.16,20.11,27.6,40.58,0.4683386248358219,±0.468338624835822,18.2%  ±0.5 pp,"536,198  ±14,627",0400000US24
0400000US25,Massachusetts,2023-01-01,2023,3774940,23526,±23526,2567180,524159,258457,141596,73148,206041,4359,2393098,269981,272122,155996,108862,574881,14083,±14083,405368,77981,8011,17811,9957,54970,783,473201,12.54,0.12,68.01,13.89,15.23,4.13,7.21,63.39,7.15,7.56,15.79,14.88,26.68,17.96,0.3607911215733198,±0.36079112157332,15.2%  ±0.4 pp,"574,881  ±14,083",0400000US25
0400000US26,Michigan,2023-01-01,2023,4706930,20404,±20404,3434096,482259,295888,166846,81957,238227,7657,3528646,395212,43278,95297,65635,578862,12642,±12642,415915,55459,11693,28032,10512,56136,1115,544691,11.57,0.16,72.96,10.25,12.3,2.02,0.92,74.97,8.4,9.22,12.11,11.5,23.56,14.56,0.2632387380589313,±0.263238738058931,12.3%  ±0.3 pp,"578,862  ±12,642",0400000US26
0400000US27,Minnesota,2023-01-01,2023,3016763,12944,±12944,2085733,367719,239540,111818,47124,161060,3769,2109811,240932,51878,78809,51517,483816,10850,±10850,333770,57561,17143,21886,6589,45872,995,398482,13.21,0.12,69.14,12.19,16.04,2.61,1.72,69.94,7.99,11.45,16,15.65,28.48,26.4,0.3530127982522961,±0.353012798252296,16%  ±0.4 pp,"483,816  ±10,850",0400000US27
